1000: tensor(0.0049, dtype=torch.float64, grad_fn=<MeanBackward0>)
2000: tensor(0.0026, dtype=torch.float64, grad_fn=<MeanBackward0>)
3000: tensor(0.0017, dtype=torch.float64, grad_fn=<MeanBackward0>)
4000: tensor(0.0013, dtype=torch.float64, grad_fn=<MeanBackward0>)
5000: tensor(0.0011, dtype=torch.float64, grad_fn=<MeanBackward0>)
6000: tensor(0.0009, dtype=torch.float64, grad_fn=<MeanBackward0>)
7000: tensor(0.0008, dtype=torch.float64, grad_fn=<MeanBackward0>)
8000: tensor(0.0008, dtype=torch.float64, grad_fn=<MeanBackward0>)
9000: tensor(0.0007, dtype=torch.float64, grad_fn=<MeanBackward0>)
10000: tensor(0.0007, dtype=torch.float64, grad_fn=<MeanBackward0>)
11000: tensor(0.0006, dtype=torch.float64, grad_fn=<MeanBackward0>)
12000: tensor(0.0006, dtype=torch.float64, grad_fn=<MeanBackward0>)
13000: tensor(0.0006, dtype=torch.float64, grad_fn=<MeanBackward0>)
14000: tensor(0.0005, dtype=torch.float64, grad_fn=<MeanBackward0>)
15000: tensor(0.0005, dtype=torch.float64, grad_fn=<MeanBackward0>)
16000: tensor(0.0005, dtype=torch.float64, grad_fn=<MeanBackward0>)
17000: tensor(0.0005, dtype=torch.float64, grad_fn=<MeanBackward0>)
18000: tensor(0.0004, dtype=torch.float64, grad_fn=<MeanBackward0>)
19000: tensor(0.0004, dtype=torch.float64, grad_fn=<MeanBackward0>)
20000: tensor(0.0004, dtype=torch.float64, grad_fn=<MeanBackward0>)
21000: tensor(0.0004, dtype=torch.float64, grad_fn=<MeanBackward0>)
22000: tensor(0.0004, dtype=torch.float64, grad_fn=<MeanBackward0>)
23000: tensor(0.0004, dtype=torch.float64, grad_fn=<MeanBackward0>)
24000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
25000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
26000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
27000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
28000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
29000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
30000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
31000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
32000: tensor(0.0003, dtype=torch.float64, grad_fn=<MeanBackward0>)
33000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
34000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
35000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
36000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
37000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
38000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
39000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
40000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
41000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
42000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
43000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
44000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
45000: tensor(0.0002, dtype=torch.float64, grad_fn=<MeanBackward0>)
